PropTypeDescription,Acreage,SpecificPropTypeDescription,NbhdCode2,Land Value,Total Value,TotGLA,Tot Bsmt,EffYearBuilt_Weighted,Quality_Weighted,Main_StyleDesc,FullBaths_Total,HalfBaths_Total,BsmtFinishPct_Weighted,Laundry_Count,KitchenCount,CarportArea,CarportCapacity,GarageArea,GarageCapacity,Count_DetGarage,SqFt_DetGarage,Count_ DetCarport,SqFt_DetCarport,Count_Barn,Sqft_Barn,Count_Guest_House,SqFt_Guest_House,Count_Pools,SqFt_Pools,Count_Recreational_Courts,SqFt_Recreational_Courts,Count_Shed,SqFt_Shed,Count_Gazebo_Pavilion,SqFt_Gazebo_Pavilion,Sold Price,Sold Date,Concessions Amount,segment,Age,Adj_Price,ln_Price,ln_GLA,Time_1,Time_2,Time_3,Trended_Price
Single Family Res,0.36,RESIDENTIAL,C," $85,666.00 "," $726,583.00 ",1892.0,1852.0,2018.0,4.5,One Story,3.0,0.0,1.0,1.0,1.0,0.0,0.0,952.0,3.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,128.0,710000.0,2022-11-14,0.0,Residential,11.0,710000.0,13.473020249017498,7.545389749611823,10.348226018396845,0.0,0.0,728546.436907295
Single Family Res,0.36,RESIDENTIAL,C," $85,666.00 "," $726,583.00 ",1892.0,1852.0,2018.0,4.5,One Story,3.0,0.0,1.0,1.0,1.0,0.0,0.0,952.0,3.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,128.0,710000.0,2022-11-14,0.0,Land Sales,11.0,710000.0,13.473020249017498,7.545389749611823,10.348226018396845,0.0,0.0,757368.3462941826
Single Family Res,0.32,RESIDENTIAL,C," $88,078.00 "," $511,772.00 ",2067.0,1636.0,2021.0,4.0,One and One Half,2.0,0.0,0.05,1.0,1.0,0.0,0.0,520.0,2.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,96.0,0.0,,500000.0,2023-02-09,0.0,Residential,5.0,500000.0,13.122363377404328,7.633853559681768,13.206307490144546,0.0,0.0,516822.6546519095
Single Family Res,0.32,RESIDENTIAL,C," $88,078.00 "," $511,772.00 ",2067.0,1636.0,2021.0,4.0,One and One Half,2.0,0.0,0.05,1.0,1.0,0.0,0.0,520.0,2.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,96.0,0.0,,500000.0,2023-02-09,0.0,Land Sales,5.0,500000.0,13.122363377404328,7.633853559681768,13.206307490144546,0.0,0.0,537122.4149520602
Single Family Res,0.26,RESIDENTIAL,C," $103,190.00 "," $625,930.00 ",2272.0,1919.0,2013.0,4.0,One and One Half,4.0,1.0,0.95,1.0,1.0,0.0,0.0,829.0,3.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,665000.0,2023-07-17,0.0,Residential,20.0,665000.0,13.407542319637992,7.7284157798410416,18.396846254927727,0.0,0.0,696554.3432472743
Single Family Res,0.26,RESIDENTIAL,C," $103,190.00 "," $625,930.00 ",2272.0,1919.0,2013.0,4.0,One and One Half,4.0,1.0,0.95,1.0,1.0,0.0,0.0,829.0,3.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,665000.0,2023-07-17,0.0,Land Sales,20.0,665000.0,13.407542319637992,7.7284157798410416,18.396846254927727,0.0,0.0,723555.9469321017
Twin Home,0.12,Twin Homes (Bldgâ€™s use 11 or 12 Tâ€™s),C," $40,000.00 "," $294,096.00 ",1290.0,0.0,2013.0,3.5,End: One Story,2.0,0.0,0.0,1.0,1.0,0.0,0.0,420.0,2.0,,,,,,,,,,,,,,,,,316875.0,2025-02-25,0.0,Residential,21.0,316875.0,12.666262653327585,7.162397497355718,28.055190538764784,0.328515111695138,9.362680683311432,315638.2727802014
Twin Home,0.12,Twin Homes (Bldgâ€™s use 11 or 12 Tâ€™s),C," $40,000.00 "," $294,096.00 ",1290.0,0.0,2013.0,3.5,End: One Story,2.0,0.0,0.0,1.0,1.0,0.0,0.0,420.0,2.0,,,,,,,,,,,,,,,,,316875.0,2025-02-25,0.0,Land Sales,21.0,316875.0,12.666262653327585,7.162397497355718,28.055190538764784,0.328515111695138,9.362680683311432,319560.76785661385
Twin Home,0.12,Twin Homes (Bldgâ€™s use 11 or 12 Tâ€™s),C," $40,000.00 "," $294,096.00 ",1290.0,0.0,2013.0,3.5,End: One Story,2.0,0.0,0.0,1.0,1.0,0.0,0.0,420.0,2.0,,,,,,,,,,,,,,,,,310000.0,2022-09-06,0.0,Residential,21.0,310000.0,12.644327576461329,7.162397497355718,8.081471747700395,0.0,0.0,316260.0573294198
Twin Home,0.12,Twin Homes (Bldgâ€™s use 11 or 12 Tâ€™s),C," $40,000.00 "," $294,096.00 ",1290.0,0.0,2013.0,3.5,End: One Story,2.0,0.0,0.0,1.0,1.0,0.0,0.0,420.0,2.0,,,,,,,,,,,,,,,,,310000.0,2022-09-06,0.0,Land Sales,21.0,310000.0,12.644327576461329,7.162397497355718,8.081471747700395,0.0,0.0,328842.5323067838
