Parcel Number,PropTypeDescription,Acreage,SpecificPropTypeDescription,NbhdCode2,Land Value,Total Value,TotGLA,Tot Bsmt,EffYearBuilt_Weighted,Quality_Weighted,Main_StyleDesc,FullBaths_Total,HalfBaths_Total,BsmtFinishPct_Weighted,Laundry_Count,KitchenCount,CarportArea,CarportCapacity,GarageArea,GarageCapacity,Count_DetGarage,SqFt_DetGarage,Count_ DetCarport,SqFt_DetCarport,Count_Barn,Sqft_Barn,Count_Guest_House,SqFt_Guest_House,Count_Pools,SqFt_Pools,Count_Recreational_Courts,SqFt_Recreational_Courts,Count_Shed,SqFt_Shed,Count_Gazebo_Pavilion,SqFt_Gazebo_Pavilion,Sold Price,Sold Date,Concessions Amount,segment,List Number,Adj_Price,ln_Price,ln_GLA,Time_1,Time_2,Time_3,Trended_Price
2600010009,Single Family Res,0.13,RESIDENTIAL,C," $47,438.00 "," $286,715.00 ",1366.0,0.0,2008.0,3.0,One Story,2.0,0.0,0.0,1.0,1.0,0.0,0.0,420.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,70.0,0.0,0.0,337500.0,2023-08-03,0.0,Land Sales,103070.0,337500.0,12.729320789294722,7.2196420401307355,18.95532194480946,0.0,0.0,368071.1622375704
2600010009,Single Family Res,0.13,RESIDENTIAL,C," $47,438.00 "," $286,715.00 ",1366.0,0.0,2008.0,3.0,One Story,2.0,0.0,0.0,1.0,1.0,0.0,0.0,420.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,70.0,0.0,0.0,335000.0,2024-05-15,0.0,Land Sales,104074.0,335000.0,12.721885810807203,7.2196420401307355,27.92378449408673,0.2956636005256242,0.1314060446780552,341280.3961092703
2600010015,Single Family Res,0.13,RESIDENTIAL,C," $47,438.00 "," $263,546.00 ",1370.0,0.0,2007.0,3.0,Two Story,2.0,1.0,0.0,1.0,1.0,0.0,0.0,480.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320000.0,2024-10-04,0.0,Residential,108120.0,320000.0,12.676076274775909,7.222566018822171,27.92378449408673,0.2956636005256242,4.7963206307490145,319020.4087776654
2600010015,Single Family Res,0.13,RESIDENTIAL,C," $47,438.00 "," $263,546.00 ",1370.0,0.0,2007.0,3.0,Two Story,2.0,1.0,0.0,1.0,1.0,0.0,0.0,480.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320000.0,2024-10-04,0.0,Land Sales,108120.0,320000.0,12.676076274775909,7.222566018822171,27.92378449408673,0.2956636005256242,4.7963206307490145,324557.3067104536
2600010031,Single Family Res,0.13,RESIDENTIAL,C," $47,438.00 "," $360,294.00 ",1456.0,0.0,2023.0,3.5,One Story,2.0,0.0,0.0,1.0,1.0,0.0,0.0,525.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,355000.0,2022-12-23,0.0,Residential,97505.0,355000.0,12.779873068457553,7.283448228756631,11.629434954007884,0.0,0.0,365817.5787995679
2600010031,Single Family Res,0.13,RESIDENTIAL,C," $47,438.00 "," $360,294.00 ",1456.0,0.0,2023.0,3.5,One Story,2.0,0.0,0.0,1.0,1.0,0.0,0.0,525.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,355000.0,2022-12-23,0.0,Land Sales,97505.0,355000.0,12.779873068457553,7.283448228756631,11.629434954007884,0.0,0.0,380165.9541895617
2600010032,Single Family Res,0.13,RESIDENTIAL,C," $47,438.00 "," $362,178.00 ",1456.0,0.0,2023.0,3.5,One Story,2.0,0.0,0.0,1.0,1.0,0.0,0.0,525.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,365000.0,2023-01-03,0.0,Residential,99930.0,365000.0,12.80765263256463,7.283448228756631,11.990801576872535,0.0,0.0,376467.18067020475
2600010032,Single Family Res,0.13,RESIDENTIAL,C," $47,438.00 "," $362,178.00 ",1456.0,0.0,2023.0,3.5,One Story,2.0,0.0,0.0,1.0,1.0,0.0,0.0,525.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,365000.0,2023-01-03,0.0,Land Sales,99930.0,365000.0,12.80765263256463,7.283448228756631,11.990801576872535,0.0,0.0,391226.32222100045
2600010041,Single Family Res,0.12,RESIDENTIAL,C," $47,438.00 "," $377,192.00 ",1619.0,0.0,2013.0,3.5,One Story,2.0,0.0,0.0,1.0,1.0,0.0,0.0,484.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,445000.0,2022-07-22,0.0,Residential,98934.0,445000.0,13.005829561148378,7.389563953677635,6.570302233902759,0.0,0.0,452713.74400108645
2600010041,Single Family Res,0.12,RESIDENTIAL,C," $47,438.00 "," $377,192.00 ",1619.0,0.0,2013.0,3.5,One Story,2.0,0.0,0.0,1.0,1.0,0.0,0.0,484.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,445000.0,2022-07-22,0.0,Land Sales,98934.0,445000.0,13.005829561148378,7.389563953677635,6.570302233902759,0.0,0.0,470587.29096716235
3500020019,Single Family Res,0.17,RESIDENTIAL,C," $21,748.00 "," $550,806.00 ",2464.0,1364.0,2013.0,3.5,Two Story,4.0,0.0,0.1,1.0,1.0,0.0,0.0,703.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,460000.0,2023-01-26,0.0,Residential,100585.0,460000.0,13.038981768465277,7.80954132465341,12.746386333771353,0.0,0.0,475361.88075670274
3500020019,Single Family Res,0.17,RESIDENTIAL,C," $21,748.00 "," $550,806.00 ",2464.0,1364.0,2013.0,3.5,Two Story,4.0,0.0,0.1,1.0,1.0,0.0,0.0,703.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,460000.0,2023-01-26,0.0,Land Sales,100585.0,460000.0,13.038981768465277,7.80954132465341,12.746386333771353,0.0,0.0,493979.7982797184
3500020036,Single Family Res,0.17,RESIDENTIAL,C," $21,748.00 "," $345,824.00 ",1633.0,0.0,2013.0,3.5,One Story,2.0,0.0,0.0,1.0,1.0,0.0,0.0,373.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,426500.0,2025-06-13,0.0,Residential,111119.0,426500.0,12.963367645913872,7.398174092970465,27.92378449408673,0.2956636005256242,13.074901445466491,425920.19492147263
3500020036,Single Family Res,0.17,RESIDENTIAL,C," $21,748.00 "," $345,824.00 ",1633.0,0.0,2013.0,3.5,One Story,2.0,0.0,0.0,1.0,1.0,0.0,0.0,373.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,426500.0,2025-06-13,0.0,Land Sales,111119.0,426500.0,12.963367645913872,7.398174092970465,27.92378449408673,0.2956636005256242,13.074901445466491,429184.5040092704
3500030000,Res Plex (2 - 4),6.13,DUPLEX,C," $202,272.00 "," $400,010.00 ",2106.0,0.0,2002.0,2.5,Duplex,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,360000.0,2022-04-11,0.0,Residential,97150.0,360000.0,12.793859310432293,7.652545692693921,3.219448094612352,0.0,0.0,363140.97889248887
