MLS #,Acres,Basement Finished,Under Contract Date,Effective Date Of The Listing Agreement,List Price,Basement Square Feet,Sold Concessions,Sold Date,Sold Price,Sold Terms,Tax ID,Total Bedrooms,Total Full Bathrooms,Total Half Bathrooms,Total Three-quarter Bathrooms,Total Fireplaces,Total Kitchens,Total Laundry Rooms,Total Square Feet,Year Built,Road Condition,Accessability,Address
96746,0.03,0.0,2022-01-28,2022-01-26,315000,0,0,2022-08-04,315000.0,CASH,B-1958-0019-000H,3,2,1,0,0,1,1,1420,2022,Paved,Year Round,3067 N 175 E
96747,0.03,0.0,2022-01-26,2022-01-26,305000,0,0,2022-07-29,305000.0,CONV,B-1958-0019-000G,3,2,1,0,0,1,1,1420,2022,Paved,Year Round,3065 N 175 E
96748,0.03,0.0,2022-03-03,2022-01-26,315000,0,4300,2022-04-06,315000.0,CONV,B-1976-0025-0077,3,2,1,0,0,1,1,1664,2013,,Year Round,1177 N Northfield #77
96749,0.03,0.0,2022-05-11,2022-01-26,319900,0,0,2022-08-03,319900.0,CONV,B-1958-0019-000F,3,2,1,0,0,1,1,1420,2022,Paved,Year Round,3063 N 175 E
96758,0.11,0.0,2022-02-01,2022-01-27,359900,0,0,2022-03-08,355000.0,CONV,B-1203-0008-000S,3,2,0,0,1,1,1,1500,2022,Paved,Year Round,949 S 25 W
96760,2.76,0.0,2022-01-29,2022-01-27,515000,0,0,2022-03-07,515000.0,CONV,D-0456-0954-0000,3,3,0,0,1,1,1,1695,2019,Unimproved,Year Round,6110 N 4050 W
96767,0.09,0.0,2022-01-31,2022-01-27,239000,0,0,2022-03-07,239000.0,CONV,B-1893-0014-0001,2,1,0,0,0,1,1,758,2007,Paved,,1913 N 550 W
96770,0.03,0.0,2022-02-08,2022-01-27,305000,0,0,2022-03-18,305000.0,CONV,B-1958-0025-000E,3,2,1,0,0,1,1,1420,2022,Paved,Year Round,3068 N 175 E
96780,0.02,0.0,2022-02-08,2022-01-27,325000,0,0,2022-03-07,325000.0,CONV,B-2013-0001-0000,3,2,1,0,0,1,1,1500,2022,Paved,Year Round,498 W 1225 1 N
96782,0.5,0.0,2022-03-16,2022-01-28,340000,0,0,2022-04-08,330000.0,VA,D-0518-0013-0000,2,2,0,0,0,1,1,1152,1995,Paved,Year Round,5066 N 2900 W
96783,0.26,100.0,2022-04-11,2022-01-28,447500,735,11000,2022-05-20,451100.0,FHA,A-0226-0227-0000,5,2,0,0,1,1,1,2958,1926,Paved,Year Round,281 E 100 N
96787,0.2,0.0,2022-02-01,2022-01-28,399000,0,700,2022-02-28,415000.0,CONV,B-1832-0001-0001,3,2,1,0,1,1,1,1868,2006,Paved,Year Round,1598 S West Canyon Drive
96789,0.17,0.0,2022-03-23,2022-01-28,374900,0,0,2022-04-21,385000.0,CONV,B-1575-0035-0000,4,2,1,0,1,1,1,1762,1996,Paved,,577 W 1475 N
96791,0.23,100.0,2022-01-28,2022-01-28,615000,1618,0,2022-03-07,600000.0,VA,B-1769-0019-0000,4,3,0,0,1,1,1,3236,2012,Paved,Year Round,1093 E Fiddlers Canyon Road
96792,0.03,0.0,2022-07-27,2022-01-28,305000,0,0,2022-08-24,305000.0,CONV,B-1958-0019-000B,3,2,1,0,0,1,1,1420,2022,Paved,Year Round,3055 N 175 E
96795,0.0,0.0,2022-02-10,2022-01-28,209000,0,0,2022-03-11,0.0,CASH,A-1153-0003-0000,1,1,0,0,1,1,1,622,1980,Paved,,385 S Vasels (fka Brian Head Blvd) #3 Brianwood condo
96799,0.12,0.0,2022-02-04,2022-01-28,290000,0,950,2022-02-18,305000.0,CASH,B-1807-0002-000E,3,2,0,0,1,1,1,1420,2005,Paved,,4239 W 200 N
96801,0.25,0.0,2022-03-01,2022-01-26,504900,1508,0,2022-03-31,505000.0,VA,B-1802-0009-0000,3,2,0,0,0,1,1,3046,2008,Paved,,2355 N 950 E
96804,0.0,0.0,2022-02-13,2022-01-28,175000,0,0,2022-03-01,187000.0,CASH,A-1197-000E-0301,0,1,0,0,1,1,1,375,1984,Paved,,223 Hunter Ridge #E301 Drive
96815,0.03,0.0,2022-04-12,2022-01-31,310000,0,0,2022-08-04,312000.0,CONV,B-1958-0019-000C,3,2,1,0,0,1,1,1420,2022,Paved,Year Round,3057 N 175 E
96817,128.45,100.0,2022-02-07,2022-01-31,2750000,1734,0,2022-04-01,2550000.0,CASH,E-0394-0026-0000/E-0394-0000-0000,2,3,1,0,3,1,1,4322,2007,Paved,,758 W Wheat Grass Lane
96827,0.23,100.0,2022-03-14,2022-02-01,499000,2068,0,2022-04-14,495000.0,CONV,B-1135-0029-0011,5,3,0,0,2,1,1,4136,1976,Paved,,1193 S Mountain View Drive
