List Number,Sold Date,Sold Price,Basement SqFt,Year Built,Lot Acres,Total Bedrooms,Full Baths,Half Baths,Garage Type,Zoned,Subdivision,Parcel Number,Garage Capacity,Photo URL,Bsmt % Finish,Fireplaces2,Kitchens,Laundry,Concessions4,Road Condition,Accessability,Address,GLA,Adjusted SP
107234,2/27/2025,576000,0,2024,0.26,4,2,1,Attach,R1,Iron West,B-2020-0079-0000,3,http://cdn.photos.sparkplatform.com/icb/20240911184658752125000000.jpg,0,1,1,1,0,Paved,Year Round,4326 W 200 North Circle,2143,576000
107240,1/17/2025,544000,0,2024,0.46,3,2,0,Attach,R,Sunview Estates,A-0907-0005-0000,3,http://cdn.photos.sparkplatform.com/icb/20240926152611571527000000.jpg,0,0,1,1,10000,Paved,Year Round,4256 N Tomahawk,1600,534000
107243,1/7/2025,481840,1117,2024,0.26,4,2,1,Attach,Re,Iron West,B-2020-0146-0000,2,http://cdn.photos.sparkplatform.com/icb/20240612165920263796000000.jpg,0.9,0,1,1,0,Paved,Year Round,4676 W 200 Lot 146 N,1419,481840
107248,5/29/2025,371005,0,2024,0.12,3,2,0,Attach,R-2-2,Rose Village,B-2029-0017-000W,2,http://cdn.photos.sparkplatform.com/icb/20250212013058197576000000.jpg,0,0,1,1,5000,Paved,,347 W Bradley Lane Lot 17W,1448,366005
112306,9/12/2025,494900,0,2025,0.24,4,2,0,Attach,Residential,Old Sorrel Ranch,B-1857-0027-0121,3,http://cdn.photos.sparkplatform.com/icb/20250718041616005377000000.jpg,0,0,1,1,0,Paved,Year Round,596 S Foundation Trail,1786,494900
112308,9/22/2025,429900,0,2025,0.28,3,3,0,Attach,Residentiaal,Valley Gate Estates,A-0798-0022-0000,3,http://cdn.photos.sparkplatform.com/icb/20250815215939101217000000.jpg,0,0,1,1,6500,Paved,Year Round,4961 N Winchester,1630,423400
112313,8/15/2025,249900,0,1972,0.5,2,0,1,None,R-1,Not Applicable,A-1115-0003-0012,0,http://cdn.photos.sparkplatform.com/icb/20250717224603735523000000.jpg,0,1,1,1,0,,Seasonal,268 W Bobcat Road,1080,249900
112319,10/31/2025,550000,1890,2005,0.4,5,4,0,Attach,R1,Equestrian Pointe,B-1747-0006-0000,3,http://cdn.photos.sparkplatform.com/icb/20250718223527457193000000.jpg,1,1,1,1,0,Paved,Year Round,3820 W 1475 N,1890,550000
112323,9/3/2025,415000,0,2016,0.18,3,2,0,Attach,Single Family,Sycamore Trail,B-1947-0005-0000,2,http://cdn.photos.sparkplatform.com/icb/20250719011217233497000000.jpg,0,1,1,1,5600,Paved,,1794 N Magnolia Lane,1802,409400
112330,8/26/2025,360000,0,1996,0.46,3,2,0,Attach,Residential,Mid Valley Estates,D-0518-0044-0000,2,http://cdn.photos.sparkplatform.com/icb/20250719201432796780000000.jpg,0,0,1,1,12000,Paved,Year Round,5153 N 2950 W,1200,348000
112336,9/2/2025,450000,777,1999,0.42,5,2,1,Attach,Residential,Enoch Gardens,A-0780-0000-000D-06,2,http://cdn.photos.sparkplatform.com/icb/20250721155728948047000000.jpg,1,1,1,1,9000,Paved,Year Round,4951 N Mule Train Drive,1513,441000
112344,9/4/2025,742979,0,2025,0.34,3,2,1,Attach,R,Saddleback Ridge,B-2012-0640-0000,3,http://cdn.photos.sparkplatform.com/icb/20250721234055731836000000.jpg,0,1,1,1,0,Paved,,2870 W Mountain Ranch Road,1971,742979
112366,9/17/2025,370000,0,2004,0.16,3,2,0,Attach,R1,Cedar Meadows,B-1582-0035-0000,2,http://cdn.photos.sparkplatform.com/icb/20250723013741149906000000.jpg,0,1,1,1,10000,Paved,,4182 W 150 N,1597,360000
112377,8/29/2025,474900,1365,1998,0.52,4,2,0,Attach,R-1,Spanish Trails,A-0878-0012-0008,2,http://cdn.photos.sparkplatform.com/icb/20250723170846100307000000.jpg,0.85,1,1,1,10000,Paved,,114 W Palomino Drive,1384,464900
107303,3/27/2025,60000,0,2000,0.03,1,1,0,None,R-3,Foothills RV Park,A-0504-0003-0004-09,0,http://cdn.photos.sparkplatform.com/icb/20240618195222915109000000.jpg,0,0,1,1,0,Paved,,409 Kari,456,60000
107321,2/21/2025,490000,1817,2006,0.25,3,2,0,Attach,R-1,Canyon Gate,B-1781-0004-0000,2,http://cdn.photos.sparkplatform.com/icb/20240619170356908498000000.jpg,0.25,1,1,1,9800,Paved,Year Round,2367 N Monarch Circle,2075,480200
112733,11/5/2025,350000,0,1976,0.2,5,3,0,Carpor,R-2,Flaming Hills,B-1046-0006-0000,1,http://cdn.photos.sparkplatform.com/icb/20251015004852582406000000.jpg,0,0,1,1,10000,,Year Round,373 E 440 S,1860,340000
112382,10/9/2025,535900,1681,2025,0.2,3,2,0,Attach,R-2-1,Crescent Hills,B-2017-0034-0000,3,http://cdn.photos.sparkplatform.com/icb/20251006170915184683000000.jpg,0,1,1,1,8950,Paved,,123 N Sterling Dr (Lot 34 Phs 4 Crescent Hills),1850,526950
107410,6/18/2025,412500,0,2024,0.14,3,2,0,Attach,R2-2,Ekko View Estates,B-2046-008S-0000,2,http://cdn.photos.sparkplatform.com/icb/20241121174358095430000000.jpg,0,0,1,1,0,Paved,Year Round,1823 N Golden Eagle,1743,412500
107412,4/25/2025,380000,0,2024,0.12,3,2,0,Attach,R2-2,Ekko View Estates,B-2046-001N-0000,2,http://cdn.photos.sparkplatform.com/icb/20241121175719898794000000.jpg,0,0,1,1,3500,Paved,Year Round,1849 N Golden Eagle,1445,376500
112735,10/30/2025,525900,0,2016,0.65,3,2,0,Attach,R1,Sunrise Meadows,D-1212-0005-0000,2,http://cdn.photos.sparkplatform.com/icb/20250821154234282109000000.jpg,0,0,1,1,10000,Paved,,2424 W 4390 N,1620,515900
107441,1/20/2025,315000,0,2024,0.11,3,2,0,Attach,Residential,Sage Springs,B-2038-0003-000W,1,http://cdn.photos.sparkplatform.com/icb/20240627161621790467000000.jpg,0,0,1,1,15000,Paved,Year Round,489 W 2360 N,1176,300000
107475,2/20/2025,274000,0,1971,0,2,1,0,None,Res,Brian Head Village,A-1150-0004-0030,0,http://cdn.photos.sparkplatform.com/icb/20240628235024413949000000.jpg,0,1,1,1,900,Paved,Year Round,356 S HWY 143 #J-34,865,273100
107523,5/12/2025,600000,1686,2024,0.25,6,4,0,Attach,R-2-1,Magnolia Fields,B-2031-0015-0000,3,http://cdn.photos.sparkplatform.com/icb/20250109231853066823000000.jpg,1,1,1,1,0,,Year Round,1041 N Olesia Street,1686,600000
107558,5/27/2025,447000,0,2024,0.16,5,3,0,Attach,R-1,Pointe West,B-2033-0013-0000,2,http://cdn.photos.sparkplatform.com/icb/20241001170309148706000000.jpg,0,1,1,1,10000,Paved,,3322 W Pointe West Way,2020,437000
107582,6/2/2025,570000,0,2024,0.27,4,2,1,Attach,R,Magnolia Fields,B-2031-0016-0000,3,http://cdn.photos.sparkplatform.com/icb/20250315234238491635000000.jpg,1,1,1,1,0,Paved,Year Round,1029 N Olesia Street,2624,570000
107626,3/31/2025,319900,0,2024,0.03,3,2,1,Attach,R-2,The Village at 56,B-1436-0011-0000,2,http://cdn.photos.sparkplatform.com/icb/20240710182822363194000000.jpg,0,0,1,1,9913,Paved,,4283 W HWY 56 #11,1625,309987
107627,1/10/2025,150000,0,1980,0,0,1,0,None,Multi Family,Brianwood Condo,A-1153-0026-0000,0,http://cdn.photos.sparkplatform.com/icb/20240702212116681515000000.jpg,0,0,1,1,0,Paved,,385 S Vasels (fka Brian Head Blvd) #26,480,150000
107640,3/12/2025,498000,1715,2020,0.23,3,2,0,Attach,Residential R-1,Equestrian Pointe,B-1601-0000-0000,2,http://cdn.photos.sparkplatform.com/icb/20241011165926166233000000.jpg,0.15,0,1,1,23000,Paved,Year Round,3782 W 1300 N,1715,475000
107647,1/29/2025,390000,832,1994,0.51,3,2,1,Attach,R-1/2,Buena Vista,D-1189-000A-0006,1,http://cdn.photos.sparkplatform.com/icb/20241104172703511789000000.jpg,1,1,1,1,0,Paved,Year Round,4098 W 575 N,1377,390000
107715,5/1/2025,499900,930,1977,0.67,5,2,0,Attach,R-1,Not Applicable,A-0868-0000-0000,3,http://cdn.photos.sparkplatform.com/icb/20240718040412134477000000.jpg,0.7,1,1,1,0,Paved,,3793 N Minersville Road,2050,499900
107730,1/17/2025,585000,0,2024,0.24,3,2,0,Attach,R,Saddleback Ridge,B-2012-0925-0000,3,http://cdn.photos.sparkplatform.com/icb/20240823152843915581000000.jpg,0,1,1,1,0,Paved,Year Round,1809 S Hidden Canyon Road,1912,585000
107749,5/13/2025,619300,1894,2025,0.23,7,3,0,Attach,R-2-1,Black Sage,B-1877-0102-0000,3,http://cdn.photos.sparkplatform.com/icb/20240831042434863075000000.jpg,1,0,1,1,15000,Paved,Year Round,2528 W Black Sage Drive,1885,604300
